<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2013.12.31,15:00:00,97.21,97.21,97.21,97.21,100,0,0
2014.02.28,15:00:00,96.91,96.91,96.91,96.91,100,0,0
2014.03.31,15:00:00,96.40,96.40,96.40,96.40,100,0,0
2014.04.30,15:00:00,95.79,95.79,95.79,95.79,100,0,0
2014.05.31,15:00:00,95.02,95.02,95.02,95.02,100,0,0
2014.06.30,15:00:00,94.84,94.84,94.84,94.84,100,0,0
2014.07.31,15:00:00,94.82,94.82,94.82,94.82,100,0,0
2014.08.31,15:00:00,94.79,94.79,94.79,94.79,100,0,0
2014.09.30,15:00:00,94.72,94.72,94.72,94.72,100,0,0
2014.10.31,15:00:00,94.76,94.76,94.76,94.76,100,0,0
2014.11.30,15:00:00,94.30,94.30,94.30,94.30,100,0,0
2014.12.31,15:00:00,93.93,93.93,93.93,93.93,100,0,0
2015.02.28,15:00:00,93.77,93.77,93.77,93.77,100,0,0
2015.03.31,15:00:00,93.11,93.11,93.11,93.11,100,0,0
2015.04.30,15:00:00,92.56,92.56,92.56,92.56,100,0,0
2015.05.31,15:00:00,92.43,92.43,92.43,92.43,100,0,0
2015.06.30,15:00:00,92.63,92.63,92.63,92.63,100,0,0
2015.07.31,15:00:00,93.03,93.03,93.03,93.03,100,0,0
2015.08.31,15:00:00,93.46,93.46,93.46,93.46,100,0,0
2015.09.30,15:00:00,93.40,93.40,93.40,93.40,100,0,0
2015.10.31,15:00:00,93.34,93.34,93.34,93.34,100,0,0
2015.11.30,15:00:00,93.35,93.35,93.35,93.35,100,0,0
2015.12.31,15:00:00,93.34,93.34,93.34,93.34,100,0,0
2016.02.29,15:00:00,99.18,99.18,99.18,99.18,100,0,0
2016.03.31,15:00:00,100.29,100.29,100.29,100.29,100,0,0
2016.04.30,15:00:00,100.58,100.58,100.58,100.58,100,0,0
2016.05.31,15:00:00,100.57,100.57,100.57,100.57,100,0,0
2016.06.30,15:00:00,100.93,100.93,100.93,100.93,100,0,0
2016.07.31,15:00:00,100.36,100.36,100.36,100.36,100,0,0
2016.08.31,15:00:00,100.40,100.40,100.40,100.40,100,0,0
2016.09.30,15:00:00,100.54,100.54,100.54,100.54,100,0,0
